"filename", "language", "PostCSS", "PHP", "JavaScript", "Markdown", "MS SQL", "JSON", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\scaneat\.gitlab-ci.yml", "YAML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 11
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\README.md", "Markdown", 0, 0, 0, 169, 0, 0, 0, 0, 64, 233
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\SECURITY.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 0, 19, 38
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\SMTPUTF8.md", "Markdown", 0, 0, 0, 27, 0, 0, 0, 0, 22, 49
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\composer.json", "JSON", 0, 0, 0, 0, 0, 80, 0, 0, 1, 81
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\get_oauth_token.php", "PHP", 0, 117, 0, 0, 0, 0, 0, 48, 18, 183
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-af.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 4, 3, 27
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-ar.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-as.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 5, 3, 36
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-az.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-ba.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-be.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-bg.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-bn.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 5, 3, 36
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-ca.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\scaneat\PHPMailer-master\PHPMailer-master\language\phpmailer.lang-cs.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 4, 3, 29
